id,roadmap_id,course_id,sequence,priority,timeframe,status,recommendation_reason,similarity_score
1,1,1,10,high,short,pending,Gợi ý khóa #1 cho roadmap 1,55.00
2,1,12,20,medium,medium,in_progress,Gợi ý khóa #12 cho roadmap 1,62.00
3,1,23,30,low,long,completed,Gợi ý khóa #23 cho roadmap 1,69.00
4,2,2,10,medium,medium,in_progress,Gợi ý khóa #2 cho roadmap 2,56.00
5,2,13,20,low,long,completed,Gợi ý khóa #13 cho roadmap 2,63.00
6,2,24,30,high,short,skipped,Gợi ý khóa #24 cho roadmap 2,70.00
7,3,3,10,low,long,completed,Gợi ý khóa #3 cho roadmap 3,57.00
8,3,14,20,high,short,skipped,Gợi ý khóa #14 cho roadmap 3,64.00
9,3,25,30,medium,medium,pending,Gợi ý khóa #25 cho roadmap 3,71.00
10,4,4,10,high,short,skipped,Gợi ý khóa #4 cho roadmap 4,58.00
11,4,15,20,medium,medium,pending,Gợi ý khóa #15 cho roadmap 4,65.00
12,4,26,30,low,long,in_progress,Gợi ý khóa #26 cho roadmap 4,72.00
13,5,5,10,medium,medium,pending,Gợi ý khóa #5 cho roadmap 5,59.00
14,5,16,20,low,long,in_progress,Gợi ý khóa #16 cho roadmap 5,66.00
15,5,27,30,high,short,completed,Gợi ý khóa #27 cho roadmap 5,73.00
16,6,6,10,low,long,in_progress,Gợi ý khóa #6 cho roadmap 6,60.00
17,6,17,20,high,short,completed,Gợi ý khóa #17 cho roadmap 6,67.00
18,6,28,30,medium,medium,skipped,Gợi ý khóa #28 cho roadmap 6,74.00
19,7,7,10,high,short,completed,Gợi ý khóa #7 cho roadmap 7,61.00
20,7,18,20,medium,medium,skipped,Gợi ý khóa #18 cho roadmap 7,68.00
21,7,29,30,low,long,pending,Gợi ý khóa #29 cho roadmap 7,75.00
22,8,8,10,medium,medium,skipped,Gợi ý khóa #8 cho roadmap 8,62.00
23,8,19,20,low,long,pending,Gợi ý khóa #19 cho roadmap 8,69.00
24,8,30,30,high,short,in_progress,Gợi ý khóa #30 cho roadmap 8,76.00
25,9,9,10,low,long,pending,Gợi ý khóa #9 cho roadmap 9,63.00
26,9,20,20,high,short,in_progress,Gợi ý khóa #20 cho roadmap 9,70.00
27,9,31,30,medium,medium,completed,Gợi ý khóa #31 cho roadmap 9,77.00
28,10,10,10,high,short,in_progress,Gợi ý khóa #10 cho roadmap 10,64.00
29,10,21,20,medium,medium,completed,Gợi ý khóa #21 cho roadmap 10,71.00
30,10,32,30,low,long,skipped,Gợi ý khóa #32 cho roadmap 10,78.00
31,11,11,10,medium,medium,completed,Gợi ý khóa #11 cho roadmap 11,65.00
32,11,22,20,low,long,skipped,Gợi ý khóa #22 cho roadmap 11,72.00
33,11,33,30,high,short,pending,Gợi ý khóa #33 cho roadmap 11,79.00
34,12,12,10,low,long,skipped,Gợi ý khóa #12 cho roadmap 12,66.00
35,12,23,20,high,short,pending,Gợi ý khóa #23 cho roadmap 12,73.00
36,12,34,30,medium,medium,in_progress,Gợi ý khóa #34 cho roadmap 12,80.00
37,13,13,10,high,short,pending,Gợi ý khóa #13 cho roadmap 13,67.00
38,13,24,20,medium,medium,in_progress,Gợi ý khóa #24 cho roadmap 13,74.00
39,13,35,30,low,long,completed,Gợi ý khóa #35 cho roadmap 13,81.00
40,14,14,10,medium,medium,in_progress,Gợi ý khóa #14 cho roadmap 14,68.00
41,14,25,20,low,long,completed,Gợi ý khóa #25 cho roadmap 14,75.00
42,14,36,30,high,short,skipped,Gợi ý khóa #36 cho roadmap 14,82.00
43,15,15,10,low,long,completed,Gợi ý khóa #15 cho roadmap 15,69.00
44,15,26,20,high,short,skipped,Gợi ý khóa #26 cho roadmap 15,76.00
45,15,37,30,medium,medium,pending,Gợi ý khóa #37 cho roadmap 15,83.00
46,16,16,10,high,short,skipped,Gợi ý khóa #16 cho roadmap 16,70.00
47,16,27,20,medium,medium,pending,Gợi ý khóa #27 cho roadmap 16,77.00
48,16,38,30,low,long,in_progress,Gợi ý khóa #38 cho roadmap 16,84.00
49,17,17,10,medium,medium,pending,Gợi ý khóa #17 cho roadmap 17,71.00
50,17,28,20,low,long,in_progress,Gợi ý khóa #28 cho roadmap 17,78.00
51,17,39,30,high,short,completed,Gợi ý khóa #39 cho roadmap 17,85.00
52,18,18,10,low,long,in_progress,Gợi ý khóa #18 cho roadmap 18,72.00
53,18,29,20,high,short,completed,Gợi ý khóa #29 cho roadmap 18,79.00
54,18,40,30,medium,medium,skipped,Gợi ý khóa #40 cho roadmap 18,86.00
55,19,19,10,high,short,completed,Gợi ý khóa #19 cho roadmap 19,73.00
56,19,30,20,medium,medium,skipped,Gợi ý khóa #30 cho roadmap 19,80.00
57,19,41,30,low,long,pending,Gợi ý khóa #41 cho roadmap 19,87.00
58,20,20,10,medium,medium,skipped,Gợi ý khóa #20 cho roadmap 20,74.00
59,20,31,20,low,long,pending,Gợi ý khóa #31 cho roadmap 20,81.00
60,20,42,30,high,short,in_progress,Gợi ý khóa #42 cho roadmap 20,88.00
61,21,21,10,low,long,pending,Gợi ý khóa #21 cho roadmap 21,75.00
62,21,32,20,high,short,in_progress,Gợi ý khóa #32 cho roadmap 21,82.00
63,21,43,30,medium,medium,completed,Gợi ý khóa #43 cho roadmap 21,89.00
64,22,22,10,high,short,in_progress,Gợi ý khóa #22 cho roadmap 22,76.00
65,22,33,20,medium,medium,completed,Gợi ý khóa #33 cho roadmap 22,83.00
66,22,44,30,low,long,skipped,Gợi ý khóa #44 cho roadmap 22,90.00
67,23,23,10,medium,medium,completed,Gợi ý khóa #23 cho roadmap 23,77.00
68,23,34,20,low,long,skipped,Gợi ý khóa #34 cho roadmap 23,84.00
69,23,45,30,high,short,pending,Gợi ý khóa #45 cho roadmap 23,91.00
70,24,24,10,low,long,skipped,Gợi ý khóa #24 cho roadmap 24,78.00
71,24,35,20,high,short,pending,Gợi ý khóa #35 cho roadmap 24,85.00
72,24,46,30,medium,medium,in_progress,Gợi ý khóa #46 cho roadmap 24,92.00
73,25,25,10,high,short,pending,Gợi ý khóa #25 cho roadmap 25,79.00
74,25,36,20,medium,medium,in_progress,Gợi ý khóa #36 cho roadmap 25,86.00
75,25,47,30,low,long,completed,Gợi ý khóa #47 cho roadmap 25,93.00
76,26,26,10,medium,medium,in_progress,Gợi ý khóa #26 cho roadmap 26,80.00
77,26,37,20,low,long,completed,Gợi ý khóa #37 cho roadmap 26,87.00
78,26,48,30,high,short,skipped,Gợi ý khóa #48 cho roadmap 26,94.00
79,27,27,10,low,long,completed,Gợi ý khóa #27 cho roadmap 27,81.00
80,27,38,20,high,short,skipped,Gợi ý khóa #38 cho roadmap 27,88.00
81,27,49,30,medium,medium,pending,Gợi ý khóa #49 cho roadmap 27,55.00
82,28,28,10,high,short,skipped,Gợi ý khóa #28 cho roadmap 28,82.00
83,28,39,20,medium,medium,pending,Gợi ý khóa #39 cho roadmap 28,89.00
84,28,50,30,low,long,in_progress,Gợi ý khóa #50 cho roadmap 28,56.00
85,29,29,10,medium,medium,pending,Gợi ý khóa #29 cho roadmap 29,83.00
86,29,40,20,low,long,in_progress,Gợi ý khóa #40 cho roadmap 29,90.00
87,29,51,30,high,short,completed,Gợi ý khóa #51 cho roadmap 29,57.00
88,30,30,10,low,long,in_progress,Gợi ý khóa #30 cho roadmap 30,84.00
89,30,41,20,high,short,completed,Gợi ý khóa #41 cho roadmap 30,91.00
90,30,52,30,medium,medium,skipped,Gợi ý khóa #52 cho roadmap 30,58.00
91,31,31,10,high,short,completed,Gợi ý khóa #31 cho roadmap 31,85.00
92,31,42,20,medium,medium,skipped,Gợi ý khóa #42 cho roadmap 31,92.00
93,31,53,30,low,long,pending,Gợi ý khóa #53 cho roadmap 31,59.00
94,32,32,10,medium,medium,skipped,Gợi ý khóa #32 cho roadmap 32,86.00
95,32,43,20,low,long,pending,Gợi ý khóa #43 cho roadmap 32,93.00
96,32,54,30,high,short,in_progress,Gợi ý khóa #54 cho roadmap 32,60.00
97,33,33,10,low,long,pending,Gợi ý khóa #33 cho roadmap 33,87.00
98,33,44,20,high,short,in_progress,Gợi ý khóa #44 cho roadmap 33,94.00
99,33,55,30,medium,medium,completed,Gợi ý khóa #55 cho roadmap 33,61.00
